appointment_id,contact_id,daysmart_contact_id,appointment_date,service,staff_member,duration_minutes,amount_usd,status,location,data_status,import_date
APT-100063,DS-200022,DS-200022,2022-01-09,Pedicure,Colleen Nguyen,60,129.23,No-Show,Downtown,LIVE,2026-04-14
APT-100064,DS-200022,DS-200022,2025-01-14,Color Treatment,Shawn Howell,30,207.11,Completed,Main Branch,LIVE,2026-04-14
APT-100065,DS-200022,DS-200022,2020-04-01,Pedicure,Jeremy Wallace,90,261.38,Completed,Downtown,LIVE,2026-04-14
APT-100066,DS-200022,DS-200022,2020-06-27,Highlights,Patrick Jones,60,244.84,Completed,Downtown,LIVE,2026-04-14
APT-100067,DS-200022,DS-200022,2020-09-27,Haircut,Timothy Flores,60,296.38,Completed,Downtown,LIVE,2026-04-14
APT-100068,DS-200022,DS-200022,2022-03-24,Pedicure,Lisa Nichols DVM,120,92.49,Completed,Downtown,LIVE,2026-04-14
APT-100069,DS-200022,DS-200022,2021-11-03,Consultation,Dustin Rowe,30,250.96,Completed,Downtown,LIVE,2026-04-14
APT-100070,DS-200022,DS-200022,2025-08-20,Massage,Timothy Chavez,60,157.09,Completed,Downtown,LIVE,2026-04-14
APT-100071,DS-200023,DS-200023,2021-03-16,Blowout,Madison Huffman,45,268.83,Completed,Main Branch,LIVE,2026-04-14
APT-100072,DS-200023,DS-200023,2021-03-21,Manicure,Alicia Lloyd,90,24.13,Completed,Downtown,LIVE,2026-04-14
APT-100073,DS-200023,DS-200023,2019-12-25,Color Treatment,Michael Holder,30,39.28,Completed,Westside,LIVE,2026-04-14
APT-100074,DS-200023,DS-200023,2024-04-05,Massage,Ryan Fuentes,120,149.67,Completed,Westside,LIVE,2026-04-14
APT-100075,DS-200023,DS-200023,2022-06-27,Manicure,Yvette Thornton,120,31.96,Completed,Downtown,LIVE,2026-04-14
APT-100076,DS-200023,DS-200023,2025-03-08,Pedicure,Ryan Walton,45,191.42,Completed,Westside,LIVE,2026-04-14
APT-100077,DS-200024,DS-200024,2020-12-02,Consultation,Danielle Hatfield,30,184.63,Completed,Westside,LIVE,2026-04-14
APT-100078,DS-200024,DS-200024,2021-09-18,Massage,Donald Martinez,120,235.01,No-Show,Main Branch,LIVE,2026-04-14
APT-100079,DS-200024,DS-200024,2023-12-11,Keratin Treatment,Sandra King,90,193.44,Cancelled,Westside,LIVE,2026-04-14
APT-100080,DS-200026,DS-200026,2023-02-02,Haircut,Bradley Lee,90,230.93,No-Show,Westside,LIVE,2026-04-14
APT-100081,DS-200026,DS-200026,2020-07-23,Consultation,Paula Evans,120,256.87,No-Show,Downtown,LIVE,2026-04-14
APT-100082,DS-200026,DS-200026,2021-03-08,Facial,Nicholas Erickson,30,242.32,Completed,Online,LIVE,2026-04-14
APT-100083,DS-200026,DS-200026,2023-11-13,Manicure,Justin Davidson,120,284.01,Completed,Online,LIVE,2026-04-14
APT-100084,DS-200027,DS-200027,2020-02-26,Haircut,Elizabeth Cook,30,241.25,Cancelled,Downtown,LIVE,2026-04-14
APT-100085,DS-200027,DS-200027,2023-04-17,Blowout,Hannah Bailey,60,276.01,Cancelled,Main Branch,LIVE,2026-04-14
APT-100086,DS-200027,DS-200027,2025-08-12,Color Treatment,Frederick Durham,30,126.83,No-Show,Online,LIVE,2026-04-14
APT-100087,DS-200028,DS-200028,2021-05-07,Keratin Treatment,Suzanne Rosales,90,269.74,Completed,Main Branch,LIVE,2026-04-14
APT-100088,DS-200028,DS-200028,2019-10-08,Pedicure,Lori Jacobs,90,60.39,Completed,Main Branch,LIVE,2026-04-14
APT-100089,DS-200028,DS-200028,2021-10-08,Highlights,Toni Munoz,60,152.5,Completed,Westside,LIVE,2026-04-14
APT-100090,DS-200028,DS-200028,2025-08-09,Keratin Treatment,Monica Kirk,60,225.05,Completed,Downtown,LIVE,2026-04-14
APT-100091,DS-200028,DS-200028,2025-12-17,Highlights,Carl Williams,30,79.86,No-Show,Main Branch,LIVE,2026-04-14
APT-100092,DS-200028,DS-200028,2023-10-15,Highlights,Tina Grant,30,208.86,Completed,Online,LIVE,2026-04-14
APT-100093,DS-200028,DS-200028,2026-01-11,Consultation,Carrie Murphy,90,25.17,Completed,Main Branch,LIVE,2026-04-14
APT-100094,DS-200028,DS-200028,2026-04-08,Consultation,Melissa Acosta,45,59.33,Completed,Westside,LIVE,2026-04-14
APT-100095,DS-200028,DS-200028,2023-01-02,Color Treatment,Michael Cooper,120,234.97,Cancelled,Online,LIVE,2026-04-14
APT-100096,DS-200028,DS-200028,2021-03-21,Consultation,Christopher Thompson,120,133.08,Completed,Downtown,LIVE,2026-04-14
APT-100097,DS-200028,DS-200028,2022-07-15,Highlights,James Dillon,60,74.58,Completed,Main Branch,LIVE,2026-04-14
APT-100098,DS-200031,DS-200031,2019-05-31,Pedicure,Andrea Kelly,60,268.43,Completed,Main Branch,LIVE,2026-04-14
APT-100099,DS-200031,DS-200031,2019-08-09,Manicure,Traci Mcintosh,30,168.95,No-Show,Online,LIVE,2026-04-14
APT-100100,DS-200031,DS-200031,2022-05-18,Highlights,Patrick Rowland,30,272.96,Completed,Downtown,LIVE,2026-04-14
APT-100101,DS-200031,DS-200031,2020-07-10,Pedicure,Ronald Ramsey,30,111.23,No-Show,Westside,LIVE,2026-04-14
APT-100102,DS-200031,DS-200031,2022-11-09,Highlights,Kathleen Higgins,120,95.43,Completed,Online,LIVE,2026-04-14
APT-100103,DS-200036,DS-200036,2021-08-06,Keratin Treatment,Christopher Ford,60,87.6,Completed,Westside,LIVE,2026-04-14
APT-100104,DS-200036,DS-200036,2023-05-31,Color Treatment,Ryan Soto,30,53.8,Completed,Downtown,LIVE,2026-04-14
APT-100105,DS-200036,DS-200036,2026-01-19,Haircut,Cassandra Knight,45,175.21,Completed,Downtown,LIVE,2026-04-14
APT-100106,DS-200036,DS-200036,2021-12-22,Color Treatment,Brittany Krueger,30,74.37,Completed,Westside,LIVE,2026-04-14
APT-100107,DS-200036,DS-200036,2026-01-05,Massage,Bruce Watts,60,100.89,Completed,Main Branch,LIVE,2026-04-14
APT-100108,DS-200038,DS-200038,2024-09-25,Manicure,Keith Vazquez,120,53.82,Completed,Main Branch,LIVE,2026-04-14
APT-100109,DS-200038,DS-200038,2020-07-19,Pedicure,John Wallace,120,213.23,Completed,Online,LIVE,2026-04-14
APT-100110,DS-200038,DS-200038,2025-02-16,Facial,Michael Freeman,90,47.19,Completed,Online,LIVE,2026-04-14
APT-100111,DS-200038,DS-200038,2020-11-20,Color Treatment,Kimberly Mendez,90,129.68,Cancelled,Westside,LIVE,2026-04-14
APT-100112,DS-200038,DS-200038,2025-08-20,Haircut,James Oneal MD,30,62.92,Completed,Westside,LIVE,2026-04-14
APT-100113,DS-200038,DS-200038,2023-03-13,Color Treatment,Cory Humphrey,30,57.95,Cancelled,Online,LIVE,2026-04-14
APT-100114,DS-200038,DS-200038,2020-09-24,Consultation,Nicole Dillon,60,217.75,Completed,Online,LIVE,2026-04-14
APT-100115,DS-200038,DS-200038,2020-12-06,Highlights,Kevin Lopez,90,130.5,Completed,Main Branch,LIVE,2026-04-14
APT-100116,DS-200039,DS-200039,2024-11-30,Consultation,Patricia King,120,180.2,Completed,Downtown,LIVE,2026-04-14
APT-100117,DS-200039,DS-200039,2019-01-24,Color Treatment,William Rubio,60,83.8,Completed,Downtown,LIVE,2026-04-14
APT-100118,DS-200039,DS-200039,2025-10-13,Keratin Treatment,Amanda Robinson,90,278.8,Completed,Main Branch,LIVE,2026-04-14
APT-100119,DS-200040,DS-200040,2019-05-21,Highlights,Joel Alvarez,60,22.2,Completed,Downtown,LIVE,2026-04-14
APT-100120,DS-200040,DS-200040,2021-02-16,Blowout,Hannah Mccullough,45,35.42,Cancelled,Downtown,LIVE,2026-04-14
APT-100121,DS-200040,DS-200040,2021-02-07,Blowout,Alan Hayes,60,88.25,Completed,Westside,LIVE,2026-04-14
APT-100122,DS-200040,DS-200040,2021-09-01,Facial,Troy Short,45,241.49,Cancelled,Westside,LIVE,2026-04-14
APT-100123,DS-200040,DS-200040,2021-11-13,Color Treatment,Cindy Golden,120,87.54,Completed,Main Branch,LIVE,2026-04-14
APT-100124,DS-200040,DS-200040,2021-09-05,Consultation,Diane Briggs,45,227.47,Completed,Online,LIVE,2026-04-14
APT-100125,DS-200041,DS-200041,2020-12-03,Pedicure,Alexis Johnson,60,26.37,Completed,Online,LIVE,2026-04-14
APT-100126,DS-200041,DS-200041,2023-09-01,Massage,Ann Rodriguez,90,137.37,Completed,Westside,LIVE,2026-04-14
APT-100127,DS-200042,DS-200042,2019-10-29,Color Treatment,Tiffany Joseph,120,59.45,Cancelled,Westside,LIVE,2026-04-14
APT-100128,DS-200042,DS-200042,2026-03-23,Pedicure,Melissa House,30,116.23,Completed,Downtown,LIVE,2026-04-14
APT-100129,DS-200042,DS-200042,2019-06-19,Manicure,Jake Diaz,90,187.94,Cancelled,Online,LIVE,2026-04-14
APT-100130,DS-200042,DS-200042,2024-04-11,Keratin Treatment,Derrick Flores,45,104.5,Cancelled,Westside,LIVE,2026-04-14
APT-100131,DS-200042,DS-200042,2021-12-21,Consultation,John Mccormick,60,24.11,Completed,Westside,LIVE,2026-04-14
APT-100132,DS-200043,DS-200043,2022-07-12,Consultation,Daniel Sanchez,90,253.1,No-Show,Westside,LIVE,2026-04-14
APT-100133,DS-200043,DS-200043,2021-02-01,Haircut,Kristen Pratt,45,29.4,Cancelled,Westside,LIVE,2026-04-14
APT-100134,DS-200043,DS-200043,2019-06-06,Manicure,Connor Adams,45,299.75,Completed,Westside,LIVE,2026-04-14
APT-100135,DS-200043,DS-200043,2024-01-10,Keratin Treatment,Cassandra Humphrey,120,255.62,Completed,Downtown,LIVE,2026-04-14
APT-100136,DS-200043,DS-200043,2019-02-10,Facial,Sheri Johnson,30,259.28,Completed,Downtown,LIVE,2026-04-14
APT-100137,DS-200043,DS-200043,2019-08-09,Blowout,Andrew Benitez,30,164.72,No-Show,Westside,LIVE,2026-04-14
APT-100138,DS-200043,DS-200043,2025-02-19,Color Treatment,Anthony Roberts,30,47.06,Completed,Westside,LIVE,2026-04-14
APT-100139,DS-200043,DS-200043,2025-06-17,Haircut,David Reynolds,45,245.43,Completed,Main Branch,LIVE,2026-04-14
APT-100140,DS-200044,DS-200044,2023-09-20,Haircut,Mark Jennings,120,52.37,Completed,Online,LIVE,2026-04-14
APT-100141,DS-200044,DS-200044,2019-12-10,Manicure,James Taylor,30,250.54,Completed,Main Branch,LIVE,2026-04-14
APT-100142,DS-200044,DS-200044,2019-02-13,Manicure,Jeffrey Hicks,120,83.15,Completed,Online,LIVE,2026-04-14
APT-100143,DS-200044,DS-200044,2022-11-29,Highlights,Darrell Goodwin,45,269.58,Completed,Downtown,LIVE,2026-04-14
APT-100144,DS-200044,DS-200044,2023-11-05,Massage,Michelle Baxter,30,21.05,Completed,Main Branch,LIVE,2026-04-14
APT-100145,DS-200044,DS-200044,2020-12-31,Highlights,Rachel Harris,60,205.1,Completed,Westside,LIVE,2026-04-14
APT-100146,DS-200044,DS-200044,2025-08-30,Haircut,Michelle Thompson,45,82.03,Cancelled,Downtown,LIVE,2026-04-14
APT-100147,DS-200044,DS-200044,2022-11-12,Massage,Denise Allison MD,120,281.17,No-Show,Main Branch,LIVE,2026-04-14
APT-100148,DS-200044,DS-200044,2023-06-14,Blowout,Alan Miller,60,161.4,Completed,Westside,LIVE,2026-04-14
APT-100149,DS-200045,DS-200045,2021-07-05,Manicure,Rebecca Cardenas,120,226.79,Completed,Online,LIVE,2026-04-14
APT-100150,DS-200045,DS-200045,2023-12-11,Haircut,Carrie Cruz,45,151.44,Completed,Downtown,LIVE,2026-04-14
APT-100151,DS-200045,DS-200045,2024-09-20,Manicure,Christopher Gonzalez,60,269.28,Completed,Westside,LIVE,2026-04-14
APT-100152,DS-200045,DS-200045,2025-12-24,Highlights,Mary Parker,45,146.21,Completed,Downtown,LIVE,2026-04-14
APT-100153,DS-200045,DS-200045,2022-04-30,Color Treatment,Daniel Gonzalez,120,37.08,No-Show,Online,LIVE,2026-04-14
APT-100154,DS-200045,DS-200045,2025-03-11,Blowout,Emily Pearson,120,180.76,Completed,Main Branch,LIVE,2026-04-14
APT-100155,DS-200046,DS-200046,2019-10-14,Keratin Treatment,Ashley Heath,120,231.65,Completed,Westside,LIVE,2026-04-14
APT-100156,DS-200046,DS-200046,2019-10-30,Consultation,Jeffery Jones,90,108.73,Completed,Main Branch,LIVE,2026-04-14
APT-100157,DS-200046,DS-200046,2021-07-10,Haircut,Savannah Miller,60,108.07,Completed,Westside,LIVE,2026-04-14
APT-100158,DS-200046,DS-200046,2024-07-23,Keratin Treatment,Roy Tate,60,69.32,Completed,Online,LIVE,2026-04-14
APT-100159,DS-200046,DS-200046,2019-12-25,Blowout,Lisa Manning,30,61.52,No-Show,Westside,LIVE,2026-04-14
APT-100160,DS-200046,DS-200046,2022-03-03,Highlights,Kelly Anderson,120,240.79,No-Show,Online,LIVE,2026-04-14
APT-100161,DS-200046,DS-200046,2023-10-09,Massage,Valerie Medina,30,60.88,Completed,Main Branch,LIVE,2026-04-14
APT-100162,DS-200047,DS-200047,2021-08-16,Pedicure,Nicole Christensen,60,260.17,Completed,Downtown,LIVE,2026-04-14
APT-100163,DS-200047,DS-200047,2024-12-01,Blowout,Lisa Rodriguez,90,274.8,Completed,Westside,LIVE,2026-04-14
APT-100164,DS-200047,DS-200047,2023-07-06,Color Treatment,Sean Day,45,128.31,Completed,Downtown,LIVE,2026-04-14
APT-100165,DS-200047,DS-200047,2025-02-16,Manicure,David Baxter,30,176.92,Completed,Main Branch,LIVE,2026-04-14
APT-100166,DS-200049,DS-200049,2019-12-25,Blowout,Craig Hicks,120,240.65,Cancelled,Downtown,LIVE,2026-04-14
APT-100167,DS-200049,DS-200049,2022-04-21,Highlights,Casey Moore,120,279.94,No-Show,Downtown,LIVE,2026-04-14
APT-100168,DS-200049,DS-200049,2023-08-20,Haircut,Hannah Christian,90,213.72,Completed,Main Branch,LIVE,2026-04-14
APT-100169,DS-200049,DS-200049,2019-07-13,Haircut,Gwendolyn Nunez,30,251.77,Completed,Downtown,LIVE,2026-04-14
APT-100170,DS-200049,DS-200049,2025-10-26,Blowout,Donald Walker,30,37.69,Completed,Main Branch,LIVE,2026-04-14
APT-100171,DS-200049,DS-200049,2025-11-24,Highlights,Ashley Drake,60,96.44,Completed,Westside,LIVE,2026-04-14
APT-100172,DS-200049,DS-200049,2019-06-14,Haircut,Tony Yoder,30,272.06,Completed,Online,LIVE,2026-04-14
APT-100173,DS-200049,DS-200049,2020-01-02,Blowout,Marcus Walton,120,255.3,No-Show,Downtown,LIVE,2026-04-14
APT-100174,DS-200049,DS-200049,2019-02-09,Highlights,Diana Horn,120,40.06,Completed,Online,LIVE,2026-04-14
APT-100175,DS-200051,DS-200051,2019-07-26,Massage,Gregory Garcia,90,245.15,Completed,Westside,LIVE,2026-04-14
APT-100176,DS-200051,DS-200051,2021-11-02,Haircut,Maria Wilson,45,52.02,Completed,Westside,LIVE,2026-04-14
APT-100177,DS-200051,DS-200051,2019-01-24,Color Treatment,Rebecca Knight,30,292.98,Completed,Main Branch,LIVE,2026-04-14
APT-100178,DS-200051,DS-200051,2020-01-20,Haircut,Sara Rocha,60,197.23,No-Show,Downtown,LIVE,2026-04-14
APT-100179,DS-200051,DS-200051,2024-02-29,Blowout,Cassandra Lawrence,90,86.14,Completed,Downtown,LIVE,2026-04-14
APT-100180,DS-200051,DS-200051,2022-05-04,Facial,Christine Simmons,120,290.8,No-Show,Downtown,LIVE,2026-04-14
APT-100181,DS-200051,DS-200051,2021-05-20,Manicure,Rachel Thomas,30,203.58,Completed,Downtown,LIVE,2026-04-14
APT-100182,DS-200051,DS-200051,2025-04-07,Blowout,Tanya Jones,30,268.94,Completed,Downtown,LIVE,2026-04-14
APT-100183,DS-200053,DS-200053,2026-02-03,Pedicure,Joseph Ferguson,120,185.62,Completed,Online,LIVE,2026-04-14
APT-100184,DS-200053,DS-200053,2021-03-07,Haircut,Shawn Schmidt,30,191.8,Completed,Westside,LIVE,2026-04-14
APT-100185,DS-200053,DS-200053,2019-12-07,Highlights,David Wong,60,299.9,Completed,Main Branch,LIVE,2026-04-14
APT-100186,DS-200053,DS-200053,2022-07-09,Highlights,Matthew Edwards,30,116.62,Completed,Online,LIVE,2026-04-14
APT-100187,DS-200053,DS-200053,2022-04-20,Manicure,Susan Barrett,30,257.79,Completed,Downtown,LIVE,2026-04-14
APT-100188,DS-200055,DS-200055,2021-02-12,Manicure,Marcus Myers,120,138.96,Completed,Downtown,LIVE,2026-04-14
APT-100189,DS-200055,DS-200055,2022-09-07,Highlights,Rodney Faulkner,30,224.9,Completed,Online,LIVE,2026-04-14
APT-100190,DS-200055,DS-200055,2019-06-30,Highlights,Kelly Meadows,30,32.2,Completed,Downtown,LIVE,2026-04-14
APT-100191,DS-200055,DS-200055,2023-07-07,Manicure,Robert Ford,30,164.75,Completed,Main Branch,LIVE,2026-04-14
APT-100192,DS-200057,DS-200057,2021-07-30,Pedicure,Claire Baldwin,30,25.29,Completed,Downtown,LIVE,2026-04-14
APT-100193,DS-200057,DS-200057,2019-08-25,Keratin Treatment,Bruce Porter,90,134.44,Completed,Online,LIVE,2026-04-14
APT-100194,DS-200057,DS-200057,2024-02-28,Manicure,Michael Lam,60,55.48,Completed,Online,LIVE,2026-04-14
APT-100195,DS-200057,DS-200057,2019-01-03,Keratin Treatment,Dr. Amy Rice MD,90,55.28,No-Show,Main Branch,LIVE,2026-04-14
APT-100196,DS-200057,DS-200057,2025-09-20,Massage,Robert Reyes,90,264.21,Completed,Downtown,LIVE,2026-04-14
APT-100197,DS-200057,DS-200057,2022-09-20,Consultation,Sarah Davis,60,45.67,No-Show,Main Branch,LIVE,2026-04-14
APT-100198,DS-200058,DS-200058,2020-10-25,Consultation,Brandi Hunt,90,192.95,Completed,Downtown,LIVE,2026-04-14
APT-100199,DS-200058,DS-200058,2025-11-11,Color Treatment,Jeffrey Richard,45,164.61,No-Show,Online,LIVE,2026-04-14
APT-100200,DS-200058,DS-200058,2022-03-30,Keratin Treatment,Michelle Richard,30,149.21,Completed,Online,LIVE,2026-04-14
APT-100201,DS-200060,DS-200060,2024-07-21,Keratin Treatment,Carly Valenzuela,120,101.04,Completed,Main Branch,LIVE,2026-04-14
APT-100202,DS-200060,DS-200060,2020-03-18,Massage,Rhonda Gardner,30,115.75,Completed,Downtown,LIVE,2026-04-14
APT-100203,DS-200060,DS-200060,2020-05-13,Color Treatment,Gabriel Giles,120,163.35,No-Show,Westside,LIVE,2026-04-14
APT-100204,DS-200060,DS-200060,2023-04-18,Manicure,Donna Patel,30,283.15,Cancelled,Downtown,LIVE,2026-04-14
APT-100205,DS-200060,DS-200060,2022-05-15,Haircut,Jessica Garcia,60,22.45,Completed,Main Branch,LIVE,2026-04-14
APT-100206,DS-200060,DS-200060,2022-04-30,Facial,Stephanie Ford,90,115.8,No-Show,Main Branch,LIVE,2026-04-14
APT-100207,DS-200060,DS-200060,2020-11-28,Haircut,Chad Hanna,120,29.53,Completed,Westside,LIVE,2026-04-14
APT-100208,DS-200065,DS-200065,2023-08-17,Facial,Brent Williams,90,226.23,Completed,Downtown,LIVE,2026-04-14
APT-100209,DS-200065,DS-200065,2020-08-18,Blowout,Megan Lee,30,186.82,Completed,Downtown,LIVE,2026-04-14
